Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Health District Name
4/21/2020,Female,7,2,0,Roanoke
4/21/2020,Female,147,25,3,Virginia Beach
4/21/2020,Female,119,17,5,Chickahominy
4/21/2020,Female,199,13,2,Chesterfield
4/21/2020,Male,30,11,2,Piedmont
4/21/2020,Not Reported,1,0,0,Rappahannock
4/21/2020,Male,33,12,1,Southside
4/21/2020,Female,128,14,1,Richmond
4/21/2020,Male,12,3,1,West Piedmont
4/21/2020,Not Reported,1,0,0,Alexandria
4/21/2020,Female,100,18,3,Chesapeake
4/21/2020,Not Reported,1,0,0,Mount Rogers
4/21/2020,Female,157,29,1,Rappahannock
4/21/2020,Male,37,16,2,Portsmouth
4/21/2020,Not Reported,3,0,0,Loudoun
4/21/2020,Male,30,5,0,New River
4/21/2020,Female,15,1,0,West Piedmont
4/21/2020,Male,6,0,0,Cumberland Plateau
4/21/2020,Female,69,8,1,Rappahannock Rapidan
4/21/2020,Male,15,8,1,Pittsylvania-Danville
4/21/2020,Female,239,19,4,Loudoun
4/21/2020,Not Reported,11,0,0,Fairfax
4/21/2020,Female,347,40,36,Henrico
4/21/2020,Female,104,9,0,Lord Fairfax
4/21/2020,Male,226,40,4,Loudoun
4/21/2020,Not Reported,2,0,0,Rappahannock Rapidan
4/21/2020,Male,304,65,14,Arlington
4/21/2020,Female,60,5,1,Piedmont
4/21/2020,Not Reported,5,1,0,Chickahominy
4/21/2020,Female,124,13,2,Western Tidewater
4/21/2020,Female,78,13,6,Crater
4/21/2020,Male,138,43,5,Rappahannock
4/21/2020,Male,113,23,8,Richmond
4/21/2020,Male,183,16,7,Chesterfield
4/21/2020,Not Reported,21,1,6,Henrico
4/21/2020,Female,1036,155,29,Fairfax
4/21/2020,Female,243,30,3,Alexandria
4/21/2020,Male,1076,228,37,Fairfax
4/21/2020,Male,218,30,6,Alexandria
4/21/2020,Female,44,12,2,Portsmouth
4/21/2020,Male,141,35,5,Virginia Beach
4/21/2020,Female,12,1,0,Cumberland Plateau
4/21/2020,Not Reported,8,0,0,Central Shenandoah
4/21/2020,Male,181,14,1,Central Shenandoah
4/21/2020,Female,317,49,9,Arlington
4/21/2020,Female,21,9,1,Pittsylvania-Danville
4/21/2020,Female,26,4,1,Three Rivers
4/21/2020,Male,97,12,0,Lord Fairfax
4/21/2020,Female,48,9,0,Hampton
4/21/2020,Female,59,8,0,Southside
4/21/2020,Female,33,5,2,Alleghany
4/21/2020,Not Reported,4,0,0,Arlington
4/21/2020,Male,253,49,35,Henrico
4/21/2020,Female,31,3,0,New River
4/21/2020,Not Reported,5,0,0,Prince William
4/21/2020,Female,122,26,2,Thomas Jefferson
4/21/2020,Male,56,10,3,Crater
4/21/2020,Female,256,9,0,Central Shenandoah
4/21/2020,Male,16,5,1,Lenowisco
4/21/2020,Female,23,9,1,Eastern Shore
4/21/2020,Male,47,15,3,Norfolk
4/21/2020,Not Reported,1,0,0,New River
4/21/2020,Male,76,6,0,Three Rivers
4/21/2020,Male,36,7,0,Eastern Shore
4/21/2020,Female,510,54,7,Prince William
4/21/2020,Male,44,17,1,Hampton
4/21/2020,Male,152,53,7,Peninsula
4/21/2020,Female,71,13,0,Norfolk
4/21/2020,Male,62,17,7,Chickahominy
4/21/2020,Male,493,59,10,Prince William
4/21/2020,Female,27,5,0,Mount Rogers
4/21/2020,Male,18,3,0,Roanoke
4/21/2020,Female,159,43,13,Peninsula
4/21/2020,Male,31,8,1,Alleghany
4/21/2020,Not Reported,1,0,0,Portsmouth
4/21/2020,Male,29,10,4,Mount Rogers
4/21/2020,Male,102,20,8,Thomas Jefferson
4/21/2020,Not Reported,4,2,0,Crater
4/21/2020,Male,105,22,2,Western Tidewater
4/21/2020,Male,76,21,2,Chesapeake
4/21/2020,Female,37,2,0,Central Virginia
4/21/2020,Male,52,5,2,Central Virginia
4/21/2020,Not Reported,5,2,1,Richmond
4/21/2020,Not Reported,8,0,0,Chesterfield
4/21/2020,Female,16,5,1,Lenowisco
4/21/2020,Male,77,10,1,Rappahannock Rapidan
