Health District,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
Chesterfield,4/23/2020,Female,247,14,2
Mount Rogers,4/23/2020,Female,27,5,0
Virginia Beach,4/23/2020,Male,151,35,5
Crater,4/23/2020,Female,94,17,6
New River,4/23/2020,Female,34,3,0
Central Virginia,4/23/2020,Male,56,4,1
Lenowisco,4/23/2020,Male,18,7,1
Chesapeake,4/23/2020,Female,106,19,2
Richmond,4/23/2020,Female,136,17,1
Fairfax,4/23/2020,Female,1174,175,38
Peninsula,4/23/2020,Female,165,43,13
Loudoun,4/23/2020,Female,252,21,5
Norfolk,4/23/2020,Male,55,16,3
Rappahannock,4/23/2020,Not Reported,4,0,0
Loudoun,4/23/2020,Not Reported,2,0,0
Virginia Beach,4/23/2020,Female,177,26,3
Roanoke,4/23/2020,Female,10,2,0
West Piedmont,4/23/2020,Male,13,3,1
Thomas Jefferson,4/23/2020,Not Reported,1,0,0
New River,4/23/2020,Not Reported,1,0,0
Alexandria,4/23/2020,Not Reported,3,0,0
Chesterfield,4/23/2020,Male,195,19,7
Rappahannock,4/23/2020,Female,178,32,2
Chickahominy,4/23/2020,Female,122,17,4
Arlington,4/23/2020,Male,335,65,14
Chesterfield,4/23/2020,Not Reported,10,1,0
Richmond,4/23/2020,Male,119,26,10
Prince William,4/23/2020,Female,600,64,8
Loudoun,4/23/2020,Male,244,43,5
Portsmouth,4/23/2020,Male,42,17,2
Henrico,4/23/2020,Female,418,45,43
Thomas Jefferson,4/23/2020,Female,131,27,2
Pittsylvania-Danville,4/23/2020,Female,25,9,1
Mount Rogers,4/23/2020,Not Reported,1,0,0
Chickahominy,4/23/2020,Male,68,20,8
Prince William,4/23/2020,Male,585,68,12
Thomas Jefferson,4/23/2020,Male,110,21,8
Cumberland Plateau,4/23/2020,Male,6,0,0
Portsmouth,4/23/2020,Not Reported,1,0,0
Eastern Shore,4/23/2020,Female,35,10,2
Three Rivers,4/23/2020,Male,89,6,0
Alexandria,4/23/2020,Male,246,40,9
Piedmont,4/23/2020,Female,66,6,1
New River,4/23/2020,Male,31,5,0
Rappahannock,4/23/2020,Male,154,43,7
Rappahannock Rapidan,4/23/2020,Male,92,11,1
Lord Fairfax,4/23/2020,Male,113,16,0
Chesapeake,4/23/2020,Male,80,21,3
Norfolk,4/23/2020,Female,81,15,0
Alleghany,4/23/2020,Female,43,5,2
Crater,4/23/2020,Male,66,12,3
Central Shenandoah,4/23/2020,Male,242,21,6
Rappahannock Rapidan,4/23/2020,Not Reported,4,0,0
Hampton,4/23/2020,Male,45,17,1
Southside,4/23/2020,Male,35,14,1
Hampton,4/23/2020,Female,54,9,0
Fairfax,4/23/2020,Male,1224,258,42
Henrico,4/23/2020,Not Reported,6,0,1
Alexandria,4/23/2020,Female,263,34,5
Arlington,4/23/2020,Not Reported,5,0,0
Three Rivers,4/23/2020,Female,33,5,1
Peninsula,4/23/2020,Male,152,53,7
Southside,4/23/2020,Female,62,8,0
Prince William,4/23/2020,Not Reported,7,0,0
Pittsylvania-Danville,4/23/2020,Male,17,8,1
Central Virginia,4/23/2020,Female,43,3,0
Lord Fairfax,4/23/2020,Female,121,12,0
Western Tidewater,4/23/2020,Male,174,25,2
Central Shenandoah,4/23/2020,Not Reported,8,0,0
Richmond,4/23/2020,Not Reported,4,2,2
Eastern Shore,4/23/2020,Male,53,8,0
Rappahannock Rapidan,4/23/2020,Female,89,8,1
Roanoke,4/23/2020,Male,18,3,0
West Piedmont,4/23/2020,Female,15,1,0
Mount Rogers,4/23/2020,Male,31,10,4
Cumberland Plateau,4/23/2020,Female,12,1,0
Chickahominy,4/23/2020,Not Reported,4,1,0
Arlington,4/23/2020,Female,346,53,10
Central Shenandoah,4/23/2020,Female,325,16,4
Lenowisco,4/23/2020,Female,16,5,1
Piedmont,4/23/2020,Male,38,11,2
Fairfax,4/23/2020,Not Reported,15,3,0
Crater,4/23/2020,Not Reported,4,3,0
Portsmouth,4/23/2020,Female,55,13,2
Western Tidewater,4/23/2020,Female,138,15,4
Alleghany,4/23/2020,Male,33,8,1
Western Tidewater,4/23/2020,Not Reported,1,0,0
Henrico,4/23/2020,Male,294,54,39
